Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s_CSCC_316-T2b_B4_DNA_trimmed_read1	s_CSCC_316-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47326532.0	0.0	75-101	50.0	69.96558859813739	100.46962348730729	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	warn
s_CSCC_316-T2b_B4_DNA_trimmed_read2	s_CSCC_316-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47326532.0	0.0	75-101	51.0	70.53127347878284	99.9340605814937	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_317-T2b_B4_DNA_trimmed_read1	s_CSCC_317-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44112807.0	0.0	75-101	50.0	73.26950245144754	100.48075015947182	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_317-T2b_B4_DNA_trimmed_read2	s_CSCC_317-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44112807.0	0.0	75-101	50.0	73.9651184111771	99.92340990678738	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_320-T2a_B4_DNA_trimmed_read1	s_CSCC_320-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35712799.0	0.0	75-101	50.0	75.34376402256716	100.46270752958904	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_320-T2a_B4_DNA_trimmed_read2	s_CSCC_320-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35712799.0	0.0	75-101	50.0	75.99167459980076	100.1004075597659	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_321-T2a_B4_DNA_trimmed_read1	s_CSCC_321-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39785732.0	0.0	75-101	48.0	72.12833919811177	100.45976447033826	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
s_CSCC_321-T2a_B4_DNA_trimmed_read2	s_CSCC_321-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39785732.0	0.0	75-101	48.0	73.5534005563788	99.940641735585	pass	pass	warn	pass	pass	fail	pass	warn	pass	pass	pass
s_CSCC_322-T2b_B4_DNA_trimmed_read1	s_CSCC_322-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32523174.0	0.0	75-101	50.0	80.62679748363108	100.38975919139996	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_322-T2b_B4_DNA_trimmed_read2	s_CSCC_322-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32523174.0	0.0	75-101	50.0	81.02155840769306	99.8095552113087	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_323-T2b_B4_DNA_trimmed_read1	s_CSCC_323-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39237004.0	0.0	75-101	51.0	78.51863546646396	100.46546540607433	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_323-T2b_B4_DNA_trimmed_read2	s_CSCC_323-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39237004.0	0.0	75-101	51.0	79.07972212504791	99.96079794981289	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass
s_CSCC_35_DNA_trimmed_read1	s_CSCC_35_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17284760.0	0.0	75-151	48.0	76.55232797751269	143.9612185532226	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_35_DNA_trimmed_read2	s_CSCC_35_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17284760.0	0.0	75-151	48.0	78.13093238613301	136.6763752577415	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_366-T2a_B4_DNA_trimmed_read1	s_CSCC_366-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41613456.0	0.0	75-101	50.0	72.45969702107506	100.45933399523462	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_366-T2a_B4_DNA_trimmed_read2	s_CSCC_366-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41613456.0	0.0	75-101	50.0	73.53839757618671	100.25749704614776	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_367-T2a_B4_DNA_trimmed_read1	s_CSCC_367-T2a_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44921411.0	0.0	75-101	52.0	59.77149391377834	100.44834873953536	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	fail
s_CSCC_367-T2a_B4_DNA_trimmed_read2	s_CSCC_367-T2a_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44921411.0	0.0	75-101	52.0	61.58082214906847	100.31953012339706	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	fail
s_CSCC_36_DNA_trimmed_read1	s_CSCC_36_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18639481.0	0.0	75-151	49.0	77.33880645588886	144.1840132780521	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_36_DNA_trimmed_read2	s_CSCC_36_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18639481.0	0.0	75-151	49.0	78.58531306092571	136.26507315305614	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_380-T2b_B4_DNA_trimmed_read1	s_CSCC_380-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32667336.0	0.0	75-101	51.0	77.85928656876997	100.39982195058697	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
s_CSCC_380-T2b_B4_DNA_trimmed_read2	s_CSCC_380-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32667336.0	0.0	75-101	51.0	78.59795113804128	100.24177980108325	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC_381-T2b_B4_DNA_trimmed_read1	s_CSCC_381-T2b_B4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39714236.0	0.0	75-101	50.0	74.53892755417098	100.03497425960806	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC_381-T2b_B4_DNA_trimmed_read2	s_CSCC_381-T2b_B4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39714236.0	0.0	75-101	50.0	75.48789285268096	100.1570895131912	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	warn
s_CSCC_39C_DNA_combined_trimmed_read1	s_CSCC_39C_DNA_combined_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31916942.0	0.0	75-151	48.0	78.38631201796838	138.96143314732345	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	warn
s_CSCC_39C_DNA_combined_trimmed_read2	s_CSCC_39C_DNA_combined_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31916942.0	0.0	75-151	48.0	77.43802475358031	137.48196565949206	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
s_CSCC_39T_DNA_trimmed_read1	s_CSCC_39T_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29843826.0	0.0	75-151	50.0	84.011154812846	142.82346486003505	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_CSCC_39T_DNA_trimmed_read2	s_CSCC_39T_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29843826.0	0.0	75-151	50.0	83.51231188097448	138.58477046475207	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_CSCC_41_DNA_trimmed_read1	s_CSCC_41_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26226322.0	0.0	75-151	50.0	77.69971246206597	144.97455716436335	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_41_DNA_trimmed_read2	s_CSCC_41_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26226322.0	0.0	75-151	50.0	79.31520417292397	138.31902620580956	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_CSCC_48_DNA_trimmed_read1	s_CSCC_48_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27457027.0	0.0	75-151	49.0	84.30349058247918	145.64800537217667	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_48_DNA_trimmed_read2	s_CSCC_48_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27457027.0	0.0	75-151	49.0	85.93279088602057	136.82733735156395	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_4_DNA_trimmed_read1	s_CSCC_4_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20284936.0	0.0	75-151	51.0	71.28279458243684	145.48491757627434	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	fail
s_CSCC_4_DNA_trimmed_read2	s_CSCC_4_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20284936.0	0.0	75-151	51.0	73.10808775274408	139.33087242671112	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	fail
s_CSCC_52_DNA_trimmed_read1	s_CSCC_52_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23200129.0	0.0	75-151	48.0	77.42404918492896	144.6796789793712	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_CSCC_52_DNA_trimmed_read2	s_CSCC_52_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23200129.0	0.0	75-151	48.0	79.17889984876993	135.2206952814788	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	warn
s_CSCC_53C_DNA_trimmed_read1	s_CSCC_53C_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26498000.0	0.0	75-151	48.0	74.99612469856439	144.5176571061967	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_53C_DNA_trimmed_read2	s_CSCC_53C_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26498000.0	0.0	75-151	48.0	76.55395168810657	135.51476526530305	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	warn
s_CSCC_56_extra_trimmed_read1	s_CSCC_56_extra_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30294666.0	0.0	75-151	46.0	82.95847428423396	145.71179626142768	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_56_extra_trimmed_read2	s_CSCC_56_extra_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30294666.0	0.0	75-151	46.0	85.39452553921075	135.9571053861429	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_58_DNA_combined_trimmed_read1	s_CSCC_58_DNA_combined_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22676451.0	0.0	75-151	47.0	72.96240867745266	142.6983093606667	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	fail
s_CSCC_58_DNA_combined_trimmed_read2	s_CSCC_58_DNA_combined_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22676451.0	0.0	75-151	47.0	71.52993660991274	138.40882596663826	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_5_DNA_combined_trimmed_read1	s_CSCC_5_DNA_combined_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26717638.0	0.0	75-151	45.0	79.58240959460261	145.48940598716098	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_5_DNA_combined_trimmed_read2	s_CSCC_5_DNA_combined_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26717638.0	0.0	75-151	45.0	81.51051244706572	137.92266958628602	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_6_DNA_trimmed_read1	s_CSCC_6_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21583622.0	0.0	75-151	50.0	76.3045211147909	144.98319827876895	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_CSCC_6_DNA_trimmed_read2	s_CSCC_6_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21583622.0	0.0	75-151	50.0	78.32831183796662	138.63311764818712	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	fail
s_CSCC_8_DNA_trimmed_read1	s_CSCC_8_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25037028.0	0.0	75-151	51.0	82.95399796428296	146.2295614319719	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	warn
s_CSCC_8_DNA_trimmed_read2	s_CSCC_8_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24997308.0	0.0	75-151	51.0	83.76315116383948	138.6558455814522	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	warn
s_CSCC_9_DNA_combined_trimmed_read1	s_CSCC_9_DNA_combined_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33947874.0	0.0	75-151	48.0	75.99590955753067	145.840122359356	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_CSCC_9_DNA_combined_trimmed_read2	s_CSCC_9_DNA_combined_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33947874.0	0.0	75-151	48.0	77.83734227942608	137.1310969871044	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	warn
